epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.5658,1.71624,2.79931,1.69032,0.08582,0.17902,0.04429,0.01721,2.43654,5.18134,2.49554,0.000474021,0.000474021,0.000474021
2,162.136,1.84692,2.67582,1.75963,0.24823,0.14263,0.07696,0.02862,2.33502,3.6269,2.3553,0.000940946,0.000940946,0.000940946
3,233.47,1.82461,2.64416,1.77232,0.42577,0.07164,0.0346,0.01354,nan,nan,nan,0.00139844,0.00139844,0.00139844
4,304.14,1.79353,2.56629,1.72886,0.2527,0.19513,0.14251,0.05583,2.33297,3.09714,2.31247,0.00138656,0.00138656,0.00138656
5,374.906,1.70271,2.42148,1.66015,0.2577,0.3185,0.21348,0.10653,1.97035,2.61276,1.91554,0.00137241,0.00137241,0.00137241
6,445.717,1.65516,2.35617,1.62513,0.27838,0.30692,0.23143,0.10668,1.87904,2.62122,1.87459,0.00135826,0.00135826,0.00135826
7,516.602,1.60116,2.3028,1.59127,0.23697,0.23157,0.16285,0.07367,2.13058,3.02677,2.0942,0.00134412,0.00134412,0.00134412
8,587.529,1.59962,2.24667,1.58182,0.31289,0.34175,0.25581,0.13486,1.94052,2.5884,1.93162,0.00132997,0.00132997,0.00132997
9,658.544,1.56008,2.18041,1.57315,0.33098,0.33874,0.26241,0.14032,1.86886,2.34648,1.8724,0.00131582,0.00131582,0.00131582
10,729.429,1.54652,2.13186,1.54193,0.28361,0.31326,0.24098,0.12648,1.89697,2.48378,1.90169,0.00130168,0.00130168,0.00130168
11,800.054,1.50563,2.04916,1.52314,0.29617,0.33998,0.26487,0.14297,1.74947,2.34536,1.74386,0.00128753,0.00128753,0.00128753
12,870.845,1.51253,2.05565,1.52297,0.38373,0.36669,0.30942,0.16331,1.7646,2.13108,1.76015,0.00127338,0.00127338,0.00127338
13,941.707,1.47496,2.02452,1.50234,0.3559,0.36611,0.29998,0.16082,1.68282,2.27465,1.70271,0.00125923,0.00125923,0.00125923
14,1012.37,1.46084,1.97232,1.48266,0.34037,0.40061,0.30555,0.15944,1.77618,2.16109,1.75951,0.00124509,0.00124509,0.00124509
15,1083.02,1.45896,1.98035,1.47902,0.39086,0.33322,0.30974,0.16649,1.79785,2.28789,1.75501,0.00123094,0.00123094,0.00123094
16,1153.75,1.47161,1.95549,1.48785,0.35999,0.40806,0.32392,0.16728,1.75122,2.15223,1.75851,0.00121679,0.00121679,0.00121679
17,1224.6,1.43549,1.91279,1.4679,0.384,0.38455,0.32683,0.17765,1.71917,2.18168,1.74568,0.00120265,0.00120265,0.00120265
18,1295.43,1.42018,1.90385,1.4626,0.39966,0.39717,0.34852,0.19395,1.68507,2.05553,1.70647,0.0011885,0.0011885,0.0011885
19,1366.3,1.40206,1.85558,1.42044,0.37398,0.37803,0.32306,0.17237,1.72217,2.12,1.73364,0.00117435,0.00117435,0.00117435
20,1437.06,1.39602,1.84739,1.45928,0.37557,0.41062,0.352,0.19538,1.66936,2.04411,1.68358,0.00116021,0.00116021,0.00116021
21,1508.05,1.36955,1.79709,1.43081,0.39605,0.41649,0.3484,0.19296,1.67052,2.01146,1.6977,0.00114606,0.00114606,0.00114606
22,1578.97,1.38407,1.79245,1.42904,0.3437,0.41667,0.33127,0.18074,1.72129,2.06086,1.7189,0.00113191,0.00113191,0.00113191
23,1649.68,1.36194,1.76378,1.42932,0.35217,0.40882,0.34128,0.19613,1.68671,2.10537,1.70919,0.00111776,0.00111776,0.00111776
24,1720.65,1.3681,1.75537,1.41982,0.35147,0.41213,0.33471,0.18539,1.67815,2.0734,1.68253,0.00110362,0.00110362,0.00110362
25,1791.45,1.33917,1.76735,1.4025,0.39997,0.40871,0.37734,0.21049,1.64233,1.97007,1.66771,0.00108947,0.00108947,0.00108947
26,1862.41,1.34308,1.71472,1.41766,0.39638,0.41716,0.36783,0.20122,1.66312,1.97064,1.68967,0.00107532,0.00107532,0.00107532
27,1933.08,1.30665,1.70505,1.38927,0.39164,0.39218,0.336,0.19007,1.73082,2.0798,1.74834,0.00106118,0.00106118,0.00106118
28,2004.97,1.31614,1.64697,1.37164,0.38725,0.42878,0.35801,0.19519,1.6568,1.97889,1.67166,0.00104703,0.00104703,0.00104703
29,2075.61,1.31712,1.67662,1.38496,0.41029,0.42776,0.38813,0.22374,1.62731,1.88393,1.67893,0.00103288,0.00103288,0.00103288
30,2146.34,1.30364,1.67589,1.40016,0.38344,0.44961,0.3744,0.21045,1.6496,1.86525,1.66464,0.00101873,0.00101873,0.00101873
31,2217.2,1.29969,1.6088,1.38395,0.40511,0.43267,0.3827,0.21806,1.6423,1.85926,1.67768,0.00100459,0.00100459,0.00100459
32,2288.08,1.26841,1.59022,1.35808,0.4224,0.48562,0.39431,0.22521,1.62429,1.81948,1.63707,0.00099044,0.00099044,0.00099044
33,2358.85,1.26556,1.58288,1.36437,0.40966,0.41218,0.35725,0.202,1.6939,1.94005,1.72657,0.000976293,0.000976293,0.000976293
34,2429.68,1.27837,1.55329,1.35902,0.45481,0.40778,0.38836,0.22737,1.6073,1.85185,1.63293,0.000962146,0.000962146,0.000962146
35,2500.58,1.26244,1.54213,1.3722,0.44139,0.44778,0.3937,0.22641,1.62208,1.85593,1.64836,0.000947999,0.000947999,0.000947999
36,2571.48,1.22518,1.4932,1.33492,0.42871,0.46311,0.39668,0.22766,1.62883,1.79774,1.6682,0.000933851,0.000933851,0.000933851
37,2642.5,1.22079,1.52951,1.32341,0.42926,0.43151,0.37635,0.21267,1.62644,1.86886,1.65552,0.000919704,0.000919704,0.000919704
38,2713.47,1.20862,1.45577,1.31552,0.43879,0.44762,0.39994,0.22665,1.60114,1.83129,1.64225,0.000905557,0.000905557,0.000905557
39,2784.32,1.20644,1.47008,1.3146,0.45928,0.44901,0.40951,0.22977,1.62796,1.80742,1.6517,0.00089141,0.00089141,0.00089141
40,2855.28,1.21506,1.46982,1.32567,0.43949,0.45384,0.40095,0.22776,1.61289,1.79094,1.65561,0.000877263,0.000877263,0.000877263
41,2926.26,1.20516,1.43004,1.31656,0.44086,0.43986,0.39606,0.22935,1.62546,1.82649,1.64703,0.000863116,0.000863116,0.000863116
42,2997.08,1.16998,1.38587,1.28381,0.45073,0.41154,0.37818,0.21233,1.63646,1.8715,1.65174,0.000848969,0.000848969,0.000848969
43,3067.97,1.21909,1.4297,1.32089,0.44599,0.4454,0.40593,0.23426,1.60087,1.82036,1.62579,0.000834822,0.000834822,0.000834822
44,3138.98,1.16195,1.36712,1.28641,0.47576,0.45917,0.41864,0.23836,1.62306,1.72391,1.65992,0.000820675,0.000820675,0.000820675
45,3210.64,1.19713,1.38305,1.31865,0.43073,0.47766,0.41421,0.24207,1.61137,1.78192,1.65282,0.000806528,0.000806528,0.000806528
46,3281.61,1.16057,1.33129,1.27801,0.45901,0.46526,0.4199,0.24451,1.58097,1.73409,1.62714,0.00079238,0.00079238,0.00079238
47,3352.62,1.17981,1.32315,1.29446,0.45995,0.43557,0.41216,0.24115,1.59829,1.76639,1.64176,0.000778233,0.000778233,0.000778233
48,3423.65,1.16376,1.3349,1.28419,0.45697,0.45789,0.40656,0.23899,1.59965,1.75255,1.64678,0.000764086,0.000764086,0.000764086
49,3494.63,1.15653,1.30628,1.2748,0.45422,0.45207,0.40696,0.23648,1.59419,1.78529,1.65464,0.000749939,0.000749939,0.000749939
50,3565.53,1.14665,1.28709,1.26914,0.41957,0.4638,0.39878,0.23863,1.58344,1.78488,1.637,0.000735792,0.000735792,0.000735792
51,3636.69,1.11601,1.27126,1.26451,0.50038,0.43018,0.42766,0.25,1.59733,1.75413,1.64647,0.000721645,0.000721645,0.000721645
52,3707.78,1.13266,1.24127,1.2722,0.47313,0.45684,0.41663,0.24207,1.58353,1.75273,1.64441,0.000707498,0.000707498,0.000707498
